DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/test/testcases.py first seen with mtime 1721892401.328338
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/sqlparse/filters/tokens.py first seen with mtime 1721892400.0288827
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/utils/translation/trans_real.py first seen with mtime 1721892401.344196
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/templatetags/static.py first seen with mtime 1721892401.326038
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/models/manager.py first seen with mtime 1721892401.2812092
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/core/cache/utils.py first seen with mtime 1721892401.2307632
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/task_manager/tasks/serializers.py first seen with mtime 1722099985.0344038
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/traceback.py first seen with mtime 1707004888.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/utils/asyncio.py first seen with mtime 1721892401.3318217
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/utils/model_meta.py first seen with mtime 1721904028.729508
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/utils/dateformat.py first seen with mtime 1721892401.3333387
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1721892400.6418874
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/email/__init__.py first seen with mtime 1707004907.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/xml/dom/xmlbuilder.py first seen with mtime 1707004915.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/core/checks/security/sessions.py first seen with mtime 1721892401.2364857
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/task_manager/manage.py first seen with mtime 1721892458.200882
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/enum.py first seen with mtime 1707004887.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/fields.py first seen with mtime 1721904028.6276674
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/utils/json.py first seen with mtime 1721904028.7288864
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/concurrent/__init__.py first seen with mtime 1707004905.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/sessions/apps.py first seen with mtime 1721892401.0954232
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/middleware/__init__.py first seen with mtime 1721892401.3160868
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/random.py first seen with mtime 1707004888.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1721892401.224931
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/utils/field_mapping.py first seen with mtime 1721904028.727864
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/argparse.py first seen with mtime 1707004886.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/template/base.py first seen with mtime 1721892401.3189218
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/contenttypes/checks.py first seen with mtime 1721892400.6401489
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/lib-dynload/_heapq.cpython-39-darwin.so first seen with mtime 1708653908.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/urllib/error.py first seen with mtime 1707004910.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/metadata.py first seen with mtime 1721904028.6293685
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/uu.py first seen with mtime 1707004888.0
DEBUG 2024-07-27 23:35:10,699 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/psycopg2/_psycopg.cpython-39-darwin.so first seen with mtime 1721892615.9587395
DEBUG 2024-07-27 23:35:10,699 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/asyncio/base_events.py first seen with mtime 1707004904.0
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/backends/base/operations.py first seen with mtime 1721892401.2611158
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/utils/topological_sort.py first seen with mtime 1721892401.3420255
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/backends/base/__init__.py first seen with mtime 1721892401.2589257
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/utils/duration.py first seen with mtime 1721892401.3351269
DEBUG 2024-07-27 23:35:10,700 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/lib-dynload/_bisect.cpython-39-darwin.so first seen with mtime 1708653917.0
DEBUG 2024-07-27 23:35:10,700 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/email/encoders.py first seen with mtime 1707004907.0
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/utils/timezone.py first seen with mtime 1721892401.341817
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/models/functions/datetime.py first seen with mtime 1721892401.2877855
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/template/backends/__init__.py first seen with mtime 1721892401.3226526
DEBUG 2024-07-27 23:35:10,700 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/site.py first seen with mtime 1707004888.0
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/dispatch/dispatcher.py first seen with mtime 1721892401.29156
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/urls/exceptions.py first seen with mtime 1721892401.3303974
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/models/fields/related.py first seen with mtime 1721892401.2854934
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/utils/functional.py first seen with mtime 1721892401.336216
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/core/files/storage/mixins.py first seen with mtime 1721892401.240491
DEBUG 2024-07-27 23:35:10,700 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/wsgiref/__init__.py first seen with mtime 1707004910.0
DEBUG 2024-07-27 23:35:10,700 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/heapq.py first seen with mtime 1707004887.0
DEBUG 2024-07-27 23:35:10,700 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/pathlib.py first seen with mtime 1707004887.0
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/admin/models.py first seen with mtime 1721892400.2323968
DEBUG 2024-07-27 23:35:10,700 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/aliases.py first seen with mtime 1707004905.0
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1721892401.232053
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/backends/postgresql/introspection.py first seen with mtime 1721892401.2691438
DEBUG 2024-07-27 23:35:10,700 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/fnmatch.py first seen with mtime 1707004887.0
DEBUG 2024-07-27 23:35:10,700 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/utils/dates.py first seen with mtime 1721892401.3338614
DEBUG 2024-07-27 23:35:10,700 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/email/mime/nonmultipart.py first seen with mtime 1707004908.0
